Sample	Population code	Population	Superpopulation code	Superpopulation	Source	Latitude	Longitude	Region	Sample Alias	Country	Town	Single_Ancestry	k7_EUR	k7_AHG	k7_WAS	k7_NAT	k7_EAS	k7_SAS	k7_AFR	k8_EUR	k8_AFR	k8_NAT	k8_EAS	k8_SAS	k8_AHG	k8_OCE	k8_WAS	k6_AHG	k6_EAS	k6_NAT	k6_AFR	k6_EUR	k6_SAS	Panel
HG00096	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00097	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.005103	1e-05	0.994857	1e-05	EUR
HG00099	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00100	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00101	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.997842	1e-05	1e-05	1e-05	1e-05	1e-05	0.002098	1e-05	1e-05	1e-05	1.2e-05	1e-05	0.999948	1e-05	EUR
HG00102	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	0.999943	1e-05	EUR
HG00103	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00105	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00106	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
HG00107	GBR	British	EUR	European	1kG	54.003659999999996	-2.5478549999999998	Cornwall and Kent (England) and Orkney and Argyll & Bute (Scotland)				1	0.9999399999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.9999299999999999	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.99995	1e-05	EUR
