width	n_filter	maxpool	depth	n_par
2	4	2	2	840
4	4	2	2	1592
2	6	2	2	1808
6	4	2	2	2344
8	4	2	2	3096
2	8	2	2	3144
2	4	2	3	3336
4	6	2	2	3488
6	6	2	2	5168
16	4	2	2	6104
4	8	2	2	6120
4	4	2	3	6520
8	6	2	2	6848
2	12	2	2	6920
2	6	2	3	7376
6	8	2	2	9096
24	4	2	2	9112
6	4	2	3	9704
8	8	2	2	12072
32	4	2	2	12120
2	16	2	2	12168
8	4	2	3	12888
2	8	2	3	13000
2	4	2	4	13192
16	6	2	2	13568
4	12	2	2	13592
4	6	2	3	14528
48	4	2	2	18136
6	12	2	2	20264
24	6	2	2	20288
6	6	2	3	21680
16	8	2	2	23976
4	16	2	2	24008
16	4	2	3	25624
4	8	2	3	25704
4	4	2	4	26104
8	12	2	2	26936
32	6	2	2	27008
8	6	2	3	28832
2	12	2	3	29000
2	6	2	4	29456
6	16	2	2	35848
24	8	2	2	35880
24	4	2	3	38360
6	8	2	3	38408
6	4	2	4	39016
48	6	2	2	40448
8	16	2	2	47688
32	8	2	2	47784
2	32	2	2	47880
32	4	2	3	51096
8	8	2	3	51112
2	16	2	3	51336
8	4	2	4	51928
2	8	2	4	52168
2	4	2	5	52360
16	12	2	2	53624
16	6	2	3	57440
4	12	2	3	57560
4	6	2	4	58496
48	8	2	2	71592
48	4	2	3	76568
24	12	2	2	80312
24	6	2	3	86048
6	12	2	3	86120
6	6	2	4	87536
16	16	2	2	95048
4	32	2	2	95112
16	8	2	3	101928
4	16	2	3	102088
16	4	2	4	103576
4	8	2	4	103784
4	4	2	5	104184
32	12	2	2	107000
32	6	2	3	114656
8	12	2	3	114680
8	6	2	4	116576
2	12	2	4	116936
2	6	2	5	117392
6	32	2	2	142344
24	16	2	2	142408
24	8	2	3	152744
6	16	2	3	152840
24	4	2	4	155224
6	8	2	4	155400
6	4	2	5	156008
48	12	2	2	160376
48	6	2	3	171872
8	32	2	2	189576
32	16	2	2	189768
2	64	2	2	189960
32	8	2	3	203560
8	16	2	3	203592
2	32	2	3	204040
32	4	2	4	206872
8	8	2	4	207016
2	16	2	4	207496
8	4	2	5	207832
2	8	2	5	208328
2	4	2	6	208520
16	12	2	3	228920
16	6	2	4	232736
4	12	2	4	233048
4	6	2	5	233984
48	16	2	2	284488
48	8	2	3	305192
48	4	2	4	310168
24	12	2	3	343160
24	6	2	4	348896
6	12	2	4	349160
6	6	2	5	350576
16	32	2	2	378504
4	64	2	2	378632
16	16	2	3	406600
4	32	2	3	406920
16	8	2	4	413480
4	16	2	4	413896
16	4	2	5	415128
4	8	2	5	415592
4	4	2	6	415992
32	12	2	3	457400
32	6	2	4	465056
8	12	2	4	465272
8	6	2	5	467168
2	12	2	5	467912
2	6	2	6	468368
6	64	2	2	567304
24	32	2	2	567432
24	16	2	3	609608
6	32	2	3	609800
24	8	2	4	619944
6	16	2	4	620296
24	4	2	5	622424
6	8	2	5	622856
6	4	2	6	623464
48	12	2	3	685880
48	6	2	4	697376
8	64	2	2	755976
32	32	2	2	756360
32	16	2	3	812616
8	32	2	3	812680
2	64	2	3	813576
32	8	2	4	826408
8	16	2	4	826696
2	32	2	4	827656
32	4	2	5	829720
8	8	2	5	830120
8	4	2	6	830936
2	16	2	5	831112
2	8	2	6	831944
2	4	2	7	832136
16	12	2	4	929720
